method_chain,accuracy,adjusted_rand_index,f1_macro,fowlkes_mallows,normalized_mutual_info,v_measure
Lemmatize.Tfidf.GraphAffinity,0.31,0.050155065762922016,0.1622002200220022,0.3999734320398427,0.08302114117726002,0.08302114117726002
Lemmatize.Tfidf.Kmeans,0.34,0.03933423167458977,0.22792081949058693,0.3676967113492864,0.06988484170275126,0.06988484170275125
Lemmatize.Tfidf.Svm,0.17,-0.0009742888049917973,0.07083333333333333,0.316800303083625,0.013288583609182489,0.013288583609182489
Lemmatize.BagOfWords.UmapHdbscan,0.1,-0.0067815873016832074,0.09175465057818,0.33214209550097257,0.02920861494163543,0.029208614941635434
Lemmatize.BagOfWords.GraphAffinity,0.32,0.028524700562797635,0.17023809523809524,0.3442050803428194,0.04654788628993797,0.046547886289937966
Lemmatize.BagOfWords.Kmeans,0.26,-0.007817519771307629,0.13893893893893894,0.3826002951300032,0.06540064402633565,0.06540064402633566
Lemmatize.BagOfWords.Svm,0.12,-0.008113523634333016,0.05555555555555555,0.3088664979083367,0.00942755605210991,0.00942755605210991
Lemmatize.FastText.UmapHdbscan,0.27,0.039220578843936704,0.20628462200295838,0.26435241859908254,0.0929150027270704,0.09291500272707041
Lemmatize.FastText.GraphAffinity,0.25,-0.0005748365308615363,0.09544008483563096,0.44310230656828337,0.018655740310650096,0.018655740310650096
Lemmatize.FastText.Kmeans,0.38,0.06902462569252606,0.24740740740740738,0.37860054831626117,0.11689557413296021,0.11689557413296021
Lemmatize.FastText.Svm,0.13,-0.0074619697176441496,0.0593607305936073,0.30944415434573663,0.010188158821151894,0.010188158821151894
Lemmatize.SentenceEmbedding.UmapHdbscan,0.45,0.3606904631599179,0.32779866332497914,0.5115855970745025,0.4704751165136679,0.47047511651366786
Lemmatize.SentenceEmbedding.Kmeans,0.53,0.3367139810387363,0.3891712280604999,0.5189530725201201,0.4097625000347685,0.4097625000347685
Lemmatize.SentenceEmbedding.Svm,0.14,-0.0009595931482684713,0.06222222222222223,0.3145695233618151,0.01949339786015995,0.01949339786015995
PosRemoval.Tfidf.GraphAffinity,0.33,0.0682091490692193,0.1774193548387097,0.3756106533667993,0.08758021726686135,0.08758021726686133
PosRemoval.Tfidf.Kmeans,0.35,0.0207124608981437,0.2289983579638752,0.38437716838758396,0.1082557435269123,0.10825574352691231
PosRemoval.Tfidf.Svm,0.15,0.017777777777777778,0.06329113924050633,0.3308922260560274,0.042571964907882245,0.042571964907882245
PosRemoval.BagOfWords.UmapHdbscan,0.14,0.007274974448101506,0.11060259344012204,0.28603582354199786,0.03699838142643737,0.03699838142643737
PosRemoval.BagOfWords.GraphAffinity,0.31,0.020148190699461655,0.16541019955654104,0.3352741272896708,0.037444329206499254,0.037444329206499254
PosRemoval.BagOfWords.Kmeans,0.26,-0.008848505189411578,0.1400611620795107,0.3855463826765974,0.08264015333933646,0.08264015333933644
PosRemoval.BagOfWords.Svm,0.11,-0.006487534080084092,0.05092592592592593,0.31014810163409745,0.01283637682652149,0.012836376826521492
PosRemoval.FastText.UmapHdbscan,0.26,0.027880993777729526,0.2000740917149586,0.25561865420781676,0.08307021877317926,0.08307021877317927
PosRemoval.FastText.GraphAffinity,0.25,-0.0002987138318285998,0.09533884297520662,0.43448227464237804,0.01752898273933495,0.01752898273933495
PosRemoval.FastText.Kmeans,0.38,0.06281473098369168,0.24561347233360067,0.365301938449733,0.10742817827457092,0.10742817827457093
PosRemoval.FastText.Svm,0.12,-0.008113523634333016,0.05555555555555555,0.3088664979083367,0.009919770991685343,0.009919770991685345
PosRemoval.SentenceEmbedding.UmapHdbscan,0.42,0.30257797420366084,0.21654326884802164,0.5230480390048671,0.4296727076234616,0.42967270762346166
